refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
U1	PLCC44____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R3	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R2	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R5	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R6	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R7	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C10	unknown	10uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S2	DIP08300____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J3	CON-SIL-254P-20N____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J4	CON-SIL-254P-20N____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C9	unknown	27pF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C8	unknown	27pF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
X1	unknown	11.0592MHz	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C4	unknown	4.7uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C3	unknown	4.7uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C2	unknown	4.7uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C1	unknown	4.7uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U3	DIP16	unknown	unknown	unknown	unknown	unknown	unknown	http://pdfserv.maxim-ic.com/en/ds/MAX220-MAX249.pdf	unknown	unknown	
R1	unknown	220	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C11	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C6	unknown	220uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C7	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J1	CON-power-jack-NO.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
